utc_timestamp,cet_cest_timestamp,interpolated_values,DE_load_entsoe_power_statistics,DE_load_entsoe_transparency,DE_price_day_ahead,DE_solar_capacity,DE_solar_generation_actual,DE_solar_profile,DE_wind_capacity,DE_wind_generation_actual,DE_wind_profile,DE_wind_offshore_capacity,DE_wind_offshore_generation_actual,DE_wind_offshore_profile,DE_wind_onshore_capacity,DE_wind_onshore_generation_actual,DE_wind_onshore_profile
2010-01-01T00:00:00Z,2010-01-01T01:00:00+0100,,44958,,18.46,10476,,,23701,3478,0.1468,35,,,23666,,
2010-01-01T01:00:00Z,2010-01-01T02:00:00+0100,,43357,,20.08,10476,,,23701,3414,0.144,35,,,23666,,
2010-01-01T02:00:00Z,2010-01-01T03:00:00+0100,,41577,,16.99,10476,,,23701,3318,0.14,35,,,23666,,
2010-01-01T03:00:00Z,2010-01-01T04:00:00+0100,,40239,,15.92,10476,,,23701,3058,0.129,35,,,23666,,
2010-01-01T04:00:00Z,2010-01-01T05:00:00+0100,,39146,,7.99,10476,,,23701,3110,0.1312,35,,,23666,,
2010-01-01T05:00:00Z,2010-01-01T06:00:00+0100,,37415,,0.47,10476,,,23701,2866,0.121,35,,,23666,,
2010-01-01T06:00:00Z,2010-01-01T07:00:00+0100,,36844,,4.01,10476,,,23701,2533,0.1069,35,,,23666,,
2010-01-01T07:00:00Z,2010-01-01T08:00:00+0100,,37079,,1.08,10476,,,23701,2381,0.1005,35,,,23666,,
2010-01-01T08:00:00Z,2010-01-01T09:00:00+0100,,38899,,8.01,10476,,,23701,2207,0.0931,35,,,23666,,
2010-01-01T09:00:00Z,2010-01-01T10:00:00+0100,,40984,,8.85,10476,,,23701,2016,0.085,35,,,23666,,
2010-01-01T10:00:00Z,2010-01-01T11:00:00+0100,,43556,,18.82,10476,,,23701,1875,0.0791,35,,,23666,,
2010-01-01T11:00:00Z,2010-01-01T12:00:00+0100,,45168,,21.6,10476,,,23701,1832,0.0773,35,,,23666,,
2010-01-01T12:00:00Z,2010-01-01T13:00:00+0100,,45006,,18.82,10476,,,23701,1702,0.0718,35,,,23666,,
2010-01-01T13:00:00Z,2010-01-01T14:00:00+0100,,44513,,17.79,10476,,,23701,1738,0.0733,35,,,23666,,
2010-01-01T14:00:00Z,2010-01-01T15:00:00+0100,,44689,,18.89,10476,,,23701,1615,0.0681,35,,,23666,,
2010-01-01T15:00:00Z,2010-01-01T16:00:00+0100,,47069,,23.46,10476,,,23701,1566,0.0661,35,,,23666,,
2010-01-01T16:00:00Z,2010-01-01T17:00:00+0100,,50440,,38.07,10476,,,23701,1440,0.0608,35,,,23666,,
2010-01-01T17:00:00Z,2010-01-01T18:00:00+0100,,51420,,40.58,10476,,,23701,1445,0.061,35,,,23666,,
2010-01-01T18:00:00Z,2010-01-01T19:00:00+0100,,50351,,38.1,10476,,,23701,1484,0.0626,35,,,23666,,
2010-01-01T19:00:00Z,2010-01-01T20:00:00+0100,,48600,,36.96,10476,,,23701,1384,0.0584,35,,,23666,,
2010-01-01T20:00:00Z,2010-01-01T21:00:00+0100,,47511,,28.85,10476,,,23701,1267,0.0534,35,,,23666,,
2010-01-01T21:00:00Z,2010-01-01T22:00:00+0100,,48469,,40.01,10476,,,23701,1123,0.0474,35,,,23666,,
2010-01-01T22:00:00Z,2010-01-01T23:00:00+0100,,46351,,35.13,10476,,,23701,967,0.0408,35,,,23666,,
2010-01-01T23:00:00Z,2010-01-02T00:00:00+0100,,43731,,38.71,10478,,,23701,890,0.0376,35,,,23666,,
2010-01-02T00:00:00Z,2010-01-02T01:00:00+0100,,41647,,28.92,10478,,,23701,824,0.0348,35,,,23666,,
2010-01-02T01:00:00Z,2010-01-02T02:00:00+0100,,40550,,24.07,10478,,,23701,801,0.0338,35,,,23666,,
2010-01-02T02:00:00Z,2010-01-02T03:00:00+0100,,39944,,22.25,10478,,,23701,757,0.0319,35,,,23666,,
2010-01-02T03:00:00Z,2010-01-02T04:00:00+0100,,39962,,19.31,10478,,,23701,714,0.0301,35,,,23666,,
2010-01-02T04:00:00Z,2010-01-02T05:00:00+0100,,39604,,20.85,10478,,,23701,780,0.0329,35,,,23666,,
2010-01-02T05:00:00Z,2010-01-02T06:00:00+0100,,39023,,20.48,10478,,,23701,809,0.0342,35,,,23666,,
2010-01-02T06:00:00Z,2010-01-02T07:00:00+0100,,41494,,31.72,10478,,,23701,903,0.0381,35,,,23666,,
2010-01-02T07:00:00Z,2010-01-02T08:00:00+0100,,44873,,33.88,10478,,,23701,935,0.0394,35,,,23666,,
2010-01-02T08:00:00Z,2010-01-02T09:00:00+0100,,48209,,37.86,10478,,,23701,950,0.0401,35,,,23666,,
2010-01-02T09:00:00Z,2010-01-02T10:00:00+0100,,50078,,40.74,10478,,,23701,1015,0.0428,35,,,23666,,
2010-01-02T10:00:00Z,2010-01-02T11:00:00+0100,,51656,,44.46,10478,,,23701,1028,0.0433,35,,,23666,,
2010-01-02T11:00:00Z,2010-01-02T12:00:00+0100,,52257,,46.54,10478,,,23701,955,0.0403,35,,,23666,,
2010-01-02T12:00:00Z,2010-01-02T13:00:00+0100,,51440,,40.54,10478,,,23701,925,0.039,35,,,23666,,
2010-01-02T13:00:00Z,2010-01-02T14:00:00+0100,,50802,,39.65,10478,,,23701,978,0.0412,35,,,23666,,
2010-01-02T14:00:00Z,2010-01-02T15:00:00+0100,,50959,,36.98,10478,,,23701,1069,0.0451,35,,,23666,,
2010-01-02T15:00:00Z,2010-01-02T16:00:00+0100,,52592,,38.57,10478,,,23701,1073,0.0452,35,,,23666,,
2010-01-02T16:00:00Z,2010-01-02T17:00:00+0100,,57243,,50.23,10478,,,23701,1216,0.0512,35,,,23666,,
2010-01-02T17:00:00Z,2010-01-02T18:00:00+0100,,57623,,59.72,10478,,,23701,1311,0.0553,35,,,23666,,
2010-01-02T18:00:00Z,2010-01-02T19:00:00+0100,,56395,,56.19,10478,,,23701,1315,0.0555,35,,,23666,,
2010-01-02T19:00:00Z,2010-01-02T20:00:00+0100,,53209,,44.52,10478,,,23701,1237,0.0522,35,,,23666,,
2010-01-02T20:00:00Z,2010-01-02T21:00:00+0100,,51751,,40.03,10478,,,23701,1260,0.0531,35,,,23666,,
2010-01-02T21:00:00Z,2010-01-02T22:00:00+0100,,52337,,44.25,10478,,,23701,1312,0.0554,35,,,23666,,
2010-01-02T22:00:00Z,2010-01-02T23:00:00+0100,,50131,,40.77,10478,,,23701,1295,0.0546,35,,,23666,,
2010-01-02T23:00:00Z,2010-01-03T00:00:00+0100,,47263,,33.56,10478,,,23701,1166,0.0492,35,,,23666,,
2010-01-03T00:00:00Z,2010-01-03T01:00:00+0100,,45232,,31.92,10478,,,23701,1115,0.047,35,,,23666,,
2010-01-03T01:00:00Z,2010-01-03T02:00:00+0100,,43657,,29.05,10478,,,23701,1180,0.0498,35,,,23666,,
2010-01-03T02:00:00Z,2010-01-03T03:00:00+0100,,42125,,26.72,10478,,,23701,1254,0.0529,35,,,23666,,
2010-01-03T03:00:00Z,2010-01-03T04:00:00+0100,,41626,,21.58,10478,,,23701,1318,0.0556,35,,,23666,,
2010-01-03T04:00:00Z,2010-01-03T05:00:00+0100,,40730,,17.89,10478,,,23701,1412,0.0596,35,,,23666,,
2010-01-03T05:00:00Z,2010-01-03T06:00:00+0100,,39329,,6.89,10478,,,23701,1460,0.0616,35,,,23666,,
2010-01-03T06:00:00Z,2010-01-03T07:00:00+0100,,40137,,18.85,10478,,,23701,1816,0.0766,35,,,23666,,
2010-01-03T07:00:00Z,2010-01-03T08:00:00+0100,,41573,,20.86,10478,,,23701,1796,0.0758,35,,,23666,,
2010-01-03T08:00:00Z,2010-01-03T09:00:00+0100,,43922,,30.43,10478,,,23701,1612,0.068,35,,,23666,,
2010-01-03T09:00:00Z,2010-01-03T10:00:00+0100,,46302,,34.07,10478,,,23701,1369,0.0578,35,,,23666,,
2010-01-03T10:00:00Z,2010-01-03T11:00:00+0100,,48891,,43.21,10478,,,23701,1166,0.0492,35,,,23666,,
2010-01-03T11:00:00Z,2010-01-03T12:00:00+0100,,49692,,46.37,10478,,,23701,862,0.0364,35,,,23666,,
2010-01-03T12:00:00Z,2010-01-03T13:00:00+0100,,48422,,38.63,10478,,,23701,702,0.0296,35,,,23666,,
2010-01-03T13:00:00Z,2010-01-03T14:00:00+0100,,47521,,31.34,10478,,,23701,590,0.0249,35,,,23666,,
2010-01-03T14:00:00Z,2010-01-03T15:00:00+0100,,47382,,29.68,10478,,,23701,520,0.0219,35,,,23666,,
2010-01-03T15:00:00Z,2010-01-03T16:00:00+0100,,49893,,31.07,10478,,,23701,525,0.0222,35,,,23666,,
2010-01-03T16:00:00Z,2010-01-03T17:00:00+0100,,54129,,46.79,10478,,,23701,585,0.0247,35,,,23666,,
2010-01-03T17:00:00Z,2010-01-03T18:00:00+0100,,55223,,54.13,10478,,,23701,501,0.0211,35,,,23666,,
2010-01-03T18:00:00Z,2010-01-03T19:00:00+0100,,54069,,52.79,10478,,,23701,382,0.0161,35,,,23666,,
2010-01-03T19:00:00Z,2010-01-03T20:00:00+0100,,51966,,45.9,10478,,,23701,279,0.0118,35,,,23666,,
2010-01-03T20:00:00Z,2010-01-03T21:00:00+0100,,51092,,38.56,10478,,,23701,358,0.0151,35,,,23666,,
2010-01-03T21:00:00Z,2010-01-03T22:00:00+0100,,52157,,42.72,10478,,,23701,516,0.0218,35,,,23666,,
2010-01-03T22:00:00Z,2010-01-03T23:00:00+0100,,49795,,39.33,10478,,,23701,760,0.0321,35,,,23666,,
2010-01-03T23:00:00Z,2010-01-04T00:00:00+0100,,47204,,39.14,10478,,,23701,885,0.0373,35,,,23666,,
2010-01-04T00:00:00Z,2010-01-04T01:00:00+0100,,44941,,36.2,10478,,,23701,938,0.0396,35,,,23666,,
2010-01-04T01:00:00Z,2010-01-04T02:00:00+0100,,43753,,34.29,10478,,,23701,1114,0.047,35,,,23666,,
2010-01-04T02:00:00Z,2010-01-04T03:00:00+0100,,43205,,22.07,10478,,,23701,1204,0.0508,35,,,23666,,
2010-01-04T03:00:00Z,2010-01-04T04:00:00+0100,,43571,,17.98,10478,,,23701,1448,0.0611,35,,,23666,,
2010-01-04T04:00:00Z,2010-01-04T05:00:00+0100,,44570,,26.96,10478,,,23701,1580,0.0666,35,,,23666,,
2010-01-04T05:00:00Z,2010-01-04T06:00:00+0100,,48193,,35.39,10478,,,23701,1968,0.083,35,,,23666,,
2010-01-04T06:00:00Z,2010-01-04T07:00:00+0100,,53556,,46.08,10478,,,23701,2408,0.1016,35,,,23666,,
2010-01-04T07:00:00Z,2010-01-04T08:00:00+0100,,56857,,44.97,10478,,,23701,2531,0.1068,35,,,23666,,
2010-01-04T08:00:00Z,2010-01-04T09:00:00+0100,,58919,,46.55,10478,,,23701,2833,0.1195,35,,,23666,,
2010-01-04T09:00:00Z,2010-01-04T10:00:00+0100,,60324,,44.09,10478,,,23701,3096,0.1306,35,,,23666,,
2010-01-04T10:00:00Z,2010-01-04T11:00:00+0100,,61495,,41.57,10478,,,23701,3337,0.1408,35,,,23666,,
2010-01-04T11:00:00Z,2010-01-04T12:00:00+0100,,61932,,42.12,10478,,,23701,3374,0.1423,35,,,23666,,
2010-01-04T12:00:00Z,2010-01-04T13:00:00+0100,,61270,,41.54,10478,,,23701,3243,0.1368,35,,,23666,,
2010-01-04T13:00:00Z,2010-01-04T14:00:00+0100,,60665,,40.03,10478,,,23701,3294,0.139,35,,,23666,,
2010-01-04T14:00:00Z,2010-01-04T15:00:00+0100,,60261,,40.59,10478,,,23701,3180,0.1342,35,,,23666,,
2010-01-04T15:00:00Z,2010-01-04T16:00:00+0100,,61349,,45.04,10478,,,23701,3206,0.1353,35,,,23666,,
2010-01-04T16:00:00Z,2010-01-04T17:00:00+0100,,65184,,52.47,10478,,,23701,3038,0.1282,35,,,23666,,
2010-01-04T17:00:00Z,2010-01-04T18:00:00+0100,,64950,,52.85,10478,,,23701,2824,0.1192,35,,,23666,,
2010-01-04T18:00:00Z,2010-01-04T19:00:00+0100,,63907,,47.97,10478,,,23701,2860,0.1206,35,,,23666,,
2010-01-04T19:00:00Z,2010-01-04T20:00:00+0100,,60948,,41.52,10478,,,23701,2759,0.1164,35,,,23666,,
2010-01-04T20:00:00Z,2010-01-04T21:00:00+0100,,59205,,38.58,10478,,,23701,2638,0.1114,35,,,23666,,
2010-01-04T21:00:00Z,2010-01-04T22:00:00+0100,,58347,,41.71,10478,,,23701,2353,0.0992,35,,,23666,,
2010-01-04T22:00:00Z,2010-01-04T23:00:00+0100,,55551,,40.78,10478,,,23701,2161,0.0912,35,,,23666,,
2010-01-04T23:00:00Z,2010-01-05T00:00:00+0100,,53297,,36.6,10478,,,23701,1931,0.0815,35,,,23666,,
2010-01-05T00:00:00Z,2010-01-05T01:00:00+0100,,51163,,36.67,10478,,,23701,1906,0.0804,35,,,23666,,
2010-01-05T01:00:00Z,2010-01-05T02:00:00+0100,,49721,,34.14,10478,,,23701,1712,0.0722,35,,,23666,,
2010-01-05T02:00:00Z,2010-01-05T03:00:00+0100,,48922,,31.92,10478,,,23701,1699,0.0717,35,,,23666,,
2010-01-05T03:00:00Z,2010-01-05T04:00:00+0100,,49203,,31.03,10478,,,23701,1773,0.0748,35,,,23666,,
2010-01-05T04:00:00Z,2010-01-05T05:00:00+0100,,50640,,35.44,10478,,,23701,1782,0.0752,35,,,23666,,
2010-01-05T05:00:00Z,2010-01-05T06:00:00+0100,,54785,,37.74,10478,,,23701,1764,0.0744,35,,,23666,,
2010-01-05T06:00:00Z,2010-01-05T07:00:00+0100,,60992,,41.26,10478,,,23701,1684,0.071,35,,,23666,,
2010-01-05T07:00:00Z,2010-01-05T08:00:00+0100,,63970,,44.52,10478,,,23701,1588,0.067,35,,,23666,,
2010-01-05T08:00:00Z,2010-01-05T09:00:00+0100,,64783,,46.28,10478,,,23701,1582,0.0668,35,,,23666,,
2010-01-05T09:00:00Z,2010-01-05T10:00:00+0100,,65411,,48.28,10478,,,23701,1527,0.0644,35,,,23666,,
2010-01-05T10:00:00Z,2010-01-05T11:00:00+0100,,66271,,49.3,10478,,,23701,1478,0.0624,35,,,23666,,
2010-01-05T11:00:00Z,2010-01-05T12:00:00+0100,,66488,,49.91,10478,,,23701,1420,0.0599,35,,,23666,,
2010-01-05T12:00:00Z,2010-01-05T13:00:00+0100,,66132,,47.09,10478,,,23701,1448,0.0611,35,,,23666,,
2010-01-05T13:00:00Z,2010-01-05T14:00:00+0100,,65248,,45.9,10478,,,23701,1447,0.0611,35,,,23666,,
2010-01-05T14:00:00Z,2010-01-05T15:00:00+0100,,64694,,45.85,10478,,,23701,1539,0.065,35,,,23666,,
2010-01-05T15:00:00Z,2010-01-05T16:00:00+0100,,65363,,51.1,10478,,,23701,1684,0.071,35,,,23666,,
2010-01-05T16:00:00Z,2010-01-05T17:00:00+0100,,68283,,66.43,10478,,,23701,1948,0.0822,35,,,23666,,
2010-01-05T17:00:00Z,2010-01-05T18:00:00+0100,,68976,,60.83,10478,,,23701,2208,0.0932,35,,,23666,,
2010-01-05T18:00:00Z,2010-01-05T19:00:00+0100,,67865,,52.72,10478,,,23701,2355,0.0994,35,,,23666,,
2010-01-05T19:00:00Z,2010-01-05T20:00:00+0100,,64787,,41.42,10478,,,23701,2326,0.0981,35,,,23666,,
2010-01-05T20:00:00Z,2010-01-05T21:00:00+0100,,61942,,36.68,10478,,,23701,2114,0.0892,35,,,23666,,
2010-01-05T21:00:00Z,2010-01-05T22:00:00+0100,,60837,,36.61,10478,,,23701,1820,0.0768,35,,,23666,,
2010-01-05T22:00:00Z,2010-01-05T23:00:00+0100,,56903,,41.4,10478,,,23701,1531,0.0646,35,,,23666,,
2010-01-05T23:00:00Z,2010-01-06T00:00:00+0100,,53995,,40.57,10478,,,23703,1289,0.0544,35,,,23668,,
2010-01-06T00:00:00Z,2010-01-06T01:00:00+0100,,51815,,35.07,10478,,,23703,1049,0.0442,35,,,23668,,
2010-01-06T01:00:00Z,2010-01-06T02:00:00+0100,,50321,,34.28,10478,,,23703,914,0.0386,35,,,23668,,
2010-01-06T02:00:00Z,2010-01-06T03:00:00+0100,,49454,,33.64,10478,,,23703,843,0.0356,35,,,23668,,
2010-01-06T03:00:00Z,2010-01-06T04:00:00+0100,,49559,,32.86,10478,,,23703,831,0.0351,35,,,23668,,
2010-01-06T04:00:00Z,2010-01-06T05:00:00+0100,,50533,,34.04,10478,,,23703,765,0.0322,35,,,23668,,
2010-01-06T05:00:00Z,2010-01-06T06:00:00+0100,,54066,,37.71,10478,,,23703,713,0.0301,35,,,23668,,
2010-01-06T06:00:00Z,2010-01-06T07:00:00+0100,,59468,,41.25,10478,,,23703,686,0.0289,35,,,23668,,
2010-01-06T07:00:00Z,2010-01-06T08:00:00+0100,,61945,,41.46,10478,,,23703,702,0.0296,35,,,23668,,
2010-01-06T08:00:00Z,2010-01-06T09:00:00+0100,,62833,,42.65,10478,,,23703,643,0.0271,35,,,23668,,
2010-01-06T09:00:00Z,2010-01-06T10:00:00+0100,,63884,,48.97,10478,,,23703,528,0.0223,35,,,23668,,
2010-01-06T10:00:00Z,2010-01-06T11:00:00+0100,,64938,,50.27,10478,,,23703,429,0.0181,35,,,23668,,
2010-01-06T11:00:00Z,2010-01-06T12:00:00+0100,,64994,,48.94,10478,,,23703,324,0.0137,35,,,23668,,
2010-01-06T12:00:00Z,2010-01-06T13:00:00+0100,,64128,,48.8,10478,,,23703,336,0.0142,35,,,23668,,
2010-01-06T13:00:00Z,2010-01-06T14:00:00+0100,,63125,,42.83,10478,,,23703,361,0.0152,35,,,23668,,
2010-01-06T14:00:00Z,2010-01-06T15:00:00+0100,,62716,,41.57,10478,,,23703,414,0.0174,35,,,23668,,
2010-01-06T15:00:00Z,2010-01-06T16:00:00+0100,,63390,,49.95,10478,,,23703,475,0.02,35,,,23668,,
2010-01-06T16:00:00Z,2010-01-06T17:00:00+0100,,66524,,60.66,10478,,,23703,486,0.0205,35,,,23668,,
2010-01-06T17:00:00Z,2010-01-06T18:00:00+0100,,67648,,60.04,10478,,,23703,577,0.0243,35,,,23668,,
2010-01-06T18:00:00Z,2010-01-06T19:00:00+0100,,66439,,52.62,10478,,,23703,588,0.0248,35,,,23668,,
2010-01-06T19:00:00Z,2010-01-06T20:00:00+0100,,63308,,47.98,10478,,,23703,559,0.0236,35,,,23668,,
2010-01-06T20:00:00Z,2010-01-06T21:00:00+0100,,61222,,49.35,10478,,,23703,494,0.0208,35,,,23668,,
2010-01-06T21:00:00Z,2010-01-06T22:00:00+0100,,60573,,50.87,10478,,,23703,508,0.0214,35,,,23668,,
2010-01-06T22:00:00Z,2010-01-06T23:00:00+0100,,57111,,39.65,10478,,,23703,433,0.0182,35,,,23668,,
2010-01-06T23:00:00Z,2010-01-07T00:00:00+0100,,54061,,37.3,10478,,,23703,474,0.02,35,,,23668,,
2010-01-07T00:00:00Z,2010-01-07T01:00:00+0100,,51688,,37.17,10478,,,23703,467,0.0197,35,,,23668,,
2010-01-07T01:00:00Z,2010-01-07T02:00:00+0100,,50290,,36.34,10478,,,23703,453,0.0191,35,,,23668,,
2010-01-07T02:00:00Z,2010-01-07T03:00:00+0100,,49504,,35.11,10478,,,23703,458,0.0193,35,,,23668,,
2010-01-07T03:00:00Z,2010-01-07T04:00:00+0100,,50040,,34.33,10478,,,23703,396,0.0167,35,,,23668,,
2010-01-07T04:00:00Z,2010-01-07T05:00:00+0100,,52251,,36.33,10478,,,23703,402,0.017,35,,,23668,,
2010-01-07T05:00:00Z,2010-01-07T06:00:00+0100,,57664,,35.81,10478,,,23703,472,0.0199,35,,,23668,,
2010-01-07T06:00:00Z,2010-01-07T07:00:00+0100,,64486,,48.84,10478,,,23703,421,0.0177,35,,,23668,,
